town,town_premium
WOODLANDS,45000.0
YISHUN,67000.0
ANG MO KIO,75000.0
BEDOK,45000.0
BISHAN,-200000.0
BUKIT BATOK,57000.0
PUNGGOL,-35000.0
BUKIT MERAH,-165000.0
BUKIT PANJANG,-5000.0
BUKIT TIMAH,-294000.0
CENTRAL AREA,-87500.0
CHOA CHU KANG,25000.0
CLEMENTI,0.0
GEYLANG,27000.0
HOUGANG,5000.0
JURONG EAST,20000.0
JURONG WEST,27000.0
KALLANG/WHAMPOA,-53000.0
PASIR RIS,-67500.0
QUEENSTOWN,-195000.0
SEMBAWANG,43000.0
SENGKANG,-15000.0
SERANGOON,-48000.0
TAMPINES,-40000.0
TOA PAYOH,5000.0
MARINE PARADE,-40000.0
