floor_area_sqm,lease_commence_date,Total_rooms,Max_storeys,remaining_years_of_lease,town_premium,flat_premium,Registration_year
93.0,2017,4.0,12.0,95,-35000.0,-43000.0,2021
104.0,1989,4.0,3.0,68,-40000.0,15000.0,2020
112.0,2015,5.0,18.0,95,45000.0,-27000.0,2019
96.0,2013,4.0,12.0,91,-35000.0,-43000.0,2021
110.0,2002,5.0,9.0,83,-15000.0,-27000.0,2018
93.0,2013,4.0,18.0,94,-5000.0,15000.0,2018
90.0,2003,4.0,12.0,84,-35000.0,15000.0,2017
67.0,1980,3.0,9.0,59,75000.0,78000.0,2019
102.0,1984,4.0,6.0,62,-40000.0,15000.0,2021
92.0,2014,4.0,6.0,93,-35000.0,15000.0,2019
144.0,1998,6.0,6.0,79,20000.0,-90000.0,2018
121.0,1989,5.0,6.0,69,-40000.0,-27000.0,2018
73.0,1988,3.0,9.0,69,-5000.0,15000.0,2018
94.0,2001,4.0,12.0,82,-15000.0,-43000.0,2018
142.0,1984,5.0,12.0,62,5000.0,-90000.0,2020
90.0,2009,4.0,18.0,89,-15000.0,-43000.0,2019
103.0,1989,4.0,6.0,70,-67500.0,15000.0,2018
93.0,2013,4.0,21.0,95,-5000.0,15000.0,2017
82.0,1979,3.0,9.0,57,-53000.0,78000.0,2020
93.0,2017,4.0,18.0,95,-35000.0,-43000.0,2021
91.0,1985,4.0,6.0,66,-48000.0,78000.0,2017
68.0,1981,3.0,9.0,61,75000.0,78000.0,2018
47.0,2013,2.5,21.0,93,-165000.0,15000.0,2018
92.0,2013,4.0,15.0,91,67000.0,-90000.0,2021
84.0,1988,4.0,3.0,69,-5000.0,78000.0,2017
67.0,1984,3.0,3.0,66,67000.0,78000.0,2017
84.0,1985,4.0,12.0,66,67000.0,78000.0,2018
104.0,1984,4.0,12.0,62,-165000.0,15000.0,2021
150.0,1984,6.0,12.0,63,57000.0,-90000.0,2020
95.0,2005,4.0,3.0,82,-15000.0,-43000.0,2021
110.0,2000,5.0,12.0,79,43000.0,-27000.0,2020
123.0,1978,5.0,18.0,58,-195000.0,78000.0,2018
82.0,1976,4.0,18.0,54,5000.0,-27000.0,2021
90.0,2003,4.0,6.0,82,45000.0,15000.0,2019
68.0,1981,3.0,12.0,62,27000.0,78000.0,2018
111.0,2000,5.0,3.0,78,45000.0,-27000.0,2021
65.0,1976,3.0,9.0,57,-40000.0,-27000.0,2018
113.0,1989,4.0,9.0,69,27000.0,15000.0,2019
67.0,2016,3.0,3.0,94,27000.0,15000.0,2021
100.0,1997,4.0,3.0,75,45000.0,15000.0,2020
81.0,1973,4.0,6.0,53,5000.0,-27000.0,2019
93.0,2011,4.0,12.0,89,-35000.0,-43000.0,2021
121.0,1998,5.0,15.0,79,5000.0,-27000.0,2017
126.0,1999,5.0,12.0,79,45000.0,-43000.0,2019
121.0,1985,5.0,12.0,63,67000.0,-27000.0,2020
84.0,1994,4.0,12.0,74,45000.0,78000.0,2019
90.0,2003,4.0,3.0,84,-165000.0,15000.0,2017
91.0,1974,4.0,6.0,52,-53000.0,-27000.0,2020
104.0,1988,4.0,6.0,66,27000.0,15000.0,2021
110.0,2000,5.0,9.0,81,-15000.0,-27000.0,2018
90.0,2006,4.0,21.0,86,27000.0,15000.0,2019
59.0,1978,3.0,6.0,59,45000.0,-27000.0,2018
150.0,1993,6.0,3.0,71,-67500.0,-90000.0,2020
100.0,1998,4.0,12.0,76,5000.0,15000.0,2021
75.0,1982,3.0,6.0,63,-40000.0,15000.0,2018
65.0,1976,3.0,15.0,54,45000.0,-27000.0,2020
98.0,1978,4.0,9.0,56,75000.0,78000.0,2020
92.0,1980,4.0,9.0,58,0.0,78000.0,2020
82.0,1978,3.0,9.0,57,0.0,78000.0,2019
110.0,2004,5.0,6.0,83,-15000.0,-43000.0,2020
143.0,1996,6.0,15.0,77,-67500.0,-90000.0,2017
121.0,1997,5.0,15.0,76,45000.0,-27000.0,2019
121.0,1980,5.0,12.0,58,75000.0,-27000.0,2021
93.0,2016,4.0,15.0,95,45000.0,15000.0,2020
65.0,1973,3.0,3.0,53,-165000.0,-27000.0,2019
93.0,2015,4.0,6.0,93,5000.0,15000.0,2020
44.0,2014,2.5,15.0,92,20000.0,15000.0,2020
95.0,2011,4.0,21.0,90,-87500.0,-90000.0,2019
124.0,1993,5.0,6.0,71,-67500.0,-27000.0,2020
84.0,1986,4.0,3.0,66,67000.0,78000.0,2019
59.0,1978,3.0,15.0,58,45000.0,-27000.0,2018
95.0,2012,4.0,9.0,89,-195000.0,15000.0,2021
142.0,2001,6.0,12.0,80,-15000.0,-43000.0,2020
92.0,1978,4.0,3.0,59,75000.0,78000.0,2018
67.0,1978,3.0,12.0,56,45000.0,78000.0,2020
92.0,2015,4.0,9.0,95,-15000.0,15000.0,2019
82.0,1982,4.0,6.0,62,-87500.0,-27000.0,2018
91.0,1977,4.0,3.0,55,27000.0,78000.0,2020
93.0,2016,4.0,12.0,95,-5000.0,15000.0,2020
90.0,2015,4.0,12.0,94,-35000.0,15000.0,2021
67.0,1970,3.0,3.0,50,5000.0,-27000.0,2018
93.0,2016,4.0,9.0,94,-15000.0,15000.0,2021
93.0,2015,4.0,18.0,95,-15000.0,15000.0,2018
128.0,1996,5.0,15.0,75,-67500.0,-27000.0,2019
93.0,2013,4.0,6.0,95,-35000.0,-43000.0,2017
133.0,1993,5.0,3.0,71,75000.0,-27000.0,2020
122.0,1988,5.0,6.0,69,67000.0,-27000.0,2018
90.0,2003,4.0,9.0,84,-35000.0,15000.0,2018
67.0,1983,3.0,3.0,62,27000.0,78000.0,2019
59.0,1981,3.0,6.0,62,-53000.0,-27000.0,2018
93.0,2010,4.0,12.0,90,-15000.0,-43000.0,2019
114.0,2001,5.0,12.0,80,-15000.0,-43000.0,2019
82.0,1975,4.0,9.0,54,5000.0,-27000.0,2020
67.0,1978,3.0,9.0,60,0.0,78000.0,2017
58.0,1967,3.0,3.0,46,-195000.0,78000.0,2019
67.0,1970,3.0,9.0,49,5000.0,-27000.0,2019
100.0,1999,4.0,15.0,79,20000.0,15000.0,2018
67.0,1985,3.0,3.0,63,67000.0,78000.0,2021
93.0,2013,4.0,12.0,94,-35000.0,-43000.0,2017
125.0,1993,5.0,12.0,71,-40000.0,-27000.0,2020
84.0,1985,4.0,3.0,66,27000.0,78000.0,2017
129.0,1993,5.0,15.0,71,-67500.0,-27000.0,2021
118.0,1982,5.0,21.0,63,27000.0,-27000.0,2017
91.0,2001,4.0,6.0,79,27000.0,15000.0,2020
117.0,1977,5.0,6.0,54,-40000.0,78000.0,2021
85.0,1989,4.0,3.0,69,45000.0,78000.0,2018
105.0,1992,4.0,3.0,71,25000.0,15000.0,2019
92.0,2015,4.0,21.0,94,43000.0,15000.0,2019
72.0,2013,3.0,21.0,92,20000.0,15000.0,2019
122.0,1988,5.0,9.0,66,-5000.0,-27000.0,2021
111.0,2002,5.0,3.0,82,27000.0,-27000.0,2018
68.0,1979,3.0,12.0,60,-53000.0,78000.0,2017
84.0,1985,4.0,12.0,63,-40000.0,78000.0,2021
110.0,2001,5.0,3.0,79,-15000.0,-27000.0,2020
90.0,1977,4.0,3.0,55,45000.0,-27000.0,2021
68.0,1984,3.0,3.0,66,67000.0,78000.0,2017
121.0,1985,5.0,3.0,65,67000.0,-27000.0,2019
92.0,2012,4.0,6.0,93,-35000.0,15000.0,2018
68.0,1980,3.0,3.0,58,45000.0,78000.0,2021
67.0,1979,3.0,3.0,59,45000.0,78000.0,2018
121.0,1984,5.0,3.0,63,67000.0,-27000.0,2019
67.0,1971,3.0,18.0,48,5000.0,-27000.0,2021
88.0,1975,4.0,12.0,56,-53000.0,-27000.0,2017
93.0,2013,4.0,9.0,93,-35000.0,-43000.0,2019
126.0,1996,5.0,12.0,77,-67500.0,-27000.0,2018
122.0,1998,5.0,6.0,76,5000.0,-27000.0,2020
92.0,2015,4.0,12.0,93,-15000.0,15000.0,2020
65.0,1975,3.0,12.0,55,-40000.0,-27000.0,2018
76.0,1976,3.0,6.0,54,-195000.0,-27000.0,2021
93.0,2015,4.0,9.0,93,-67500.0,15000.0,2021
94.0,2012,4.0,18.0,92,-15000.0,15000.0,2018
65.0,1974,3.0,6.0,55,-53000.0,-27000.0,2017
65.0,1973,3.0,15.0,53,-53000.0,-27000.0,2018
122.0,1988,5.0,6.0,68,-5000.0,-27000.0,2018
112.0,2016,5.0,6.0,94,-35000.0,-43000.0,2021
61.0,1969,3.0,3.0,50,27000.0,78000.0,2017
57.0,1968,3.0,9.0,45,5000.0,78000.0,2021
113.0,2016,5.0,6.0,94,-35000.0,-43000.0,2020
90.0,2002,4.0,12.0,81,75000.0,15000.0,2020
93.0,2013,4.0,9.0,92,67000.0,15000.0,2019
96.0,2000,4.0,15.0,81,-15000.0,15000.0,2017
67.0,2015,3.0,9.0,94,45000.0,15000.0,2019
67.0,1970,3.0,6.0,51,5000.0,-27000.0,2018
